singers,lyric,title
Mỹ Tâm,Bài hát: Rực Rỡ Tháng Năm (Tháng Năm Rực Rỡ OST) - Mỹ Tâm  Nhiều lúc ta loay hoay Cuốn theo vòng xoay Ngày cứ thế trôi qua Thời gian sao nhanh quá  Rồi bỗng dưng hôm nào Ký ức tràn về đây Tìm thấy nhau hôm nay Mà như vừa hôm qua  Bài hát ngày thơ Bài hát mộng mơ Còn mãi theo ta hoài Theo suốt quãng đời  Tìm lại ngày tháng dấu yêu ngày xưa Tìm một thời đã ghi dấu bao mộng mơ Tìm một hạnh phúc chưa có bao giờ Tìm lại rực rỡ năm tháng tuổi thơ  Tìm thấy nhau hôm nay Tựa như giấc chiêm bao Nhìn thấy nhau hôm nay Lại nhớ thời xưa ấy  Ngày ấy bao vui buồn Năm tháng mộng mơ Là những trang thơ êm Ngàn năm ta vẫn nhớ  Bài hát ngày thơ Bài hát mộng mơ Còn mãi theo ta hoài Theo suốt quãng đời  Tìm lại ngày tháng dấu yêu ngày xưa Tìm một thời đã ghi dấu bao mộng mơ Tìm một hạnh phúc chưa có bao giờ Tìm lại rực rỡ năm tháng tuổi thơ. ,Rực Rỡ Tháng Năm (Tháng Năm Rực Rỡ OST)
"Hà Anh Tuấn,Mỹ Tâm","- Hiện chưa có lời bài hát nào cho Em Về Tinh Khôi (Live) do ca sĩ Hà Anh Tuấn , Mỹ Tâm trình bày. Bạn có thể click vào đây để đăng lời cho bài hát này. ",Em Về Tinh Khôi (Live)
Mỹ Tâm,"Bài hát: Cám Ơn Người Tình - Mỹ Tâm  Ngày chưa *** nhau, đâu biết niềm đau. Mùa xuân bao quanh, nhìn đời bằng đôi mắt màu xanh. Rồi ta *** nhau, những đêm hẹn ước. Người tìm ta bằng những môi hôn nồng nàn.  Rồi ta yêu nhau, đâu biết ngày sau. Thời gian qua mau, tình là mầm nhen nhúm khổ đau. Người mang cho ta, hắt hiu niềm nhớ. Và cho ta hạnh phúc mong manh đợi chờ.  Có nhiều lúc ước mơ chỉ là mộng thôi. Tan biến theo sương mù khơi lời nồng yêu ban đầu. Tình là hoa, khi sắc hương tàn uá. Mới biết đời buồn tênh, ngày dài đêm mong manh. Những lúc cô đơn, nghe như trong tim dâng lên hình bóng xa vời Tình đã phụ ta đời sao còn lắm phong ba rã rời Ngoài kia mưa rơi, hoa lá tả tơi Buồn theo mây trôi, gởi về người đã giết tình tôi Từ nơi xa xôi, cám ơn tình đó. Vừa cho ta ngày tháng đau thương ngậm ngùi ",Cám Ơn Người Tình
"Mỹ Tâm,Wanbi Tuấn Anh","Bài hát: Về Bên Anh - Mỹ Tâm, Wanbi Tuấn Anh  Con đường vắng Con đường trắng Cùng màn sương lạnh đêm nay vây kín tâm hồn Con đường ấy Con đường đắng cay Cũng chính nơi mình nói câu mãi mãi chia lìa Một mình anh bước Trên hè phố Không vòng tay, không tình yêu, không chút hi vọng Chẳng tin nơi đó Em còn nhớ anh Nhớ đến bao yêu thương ngày nào đã trao Có nghe con tim vụn vỡ Có nghe yêu thương lầm lỡ Có hay những tháng ngày qua Trôi thật nhanh đến nơi phương xa Biết chăng anh vẫn còn nhớ Biết chăng anh vẫn còn mãi thầm mơ Một lần thôi một lần thôi hãy quay trở về Trở về bên anh Hey ih yeah ih yeah hey Hey ih yeah ih yeah hey Hey hey ih yeah hey Trở về bên anh Hey ih yeah ih yeah hey Hey ih yeah ih yeah hey Hey hey ih yeah hey. ",Về Bên Anh
Mỹ Tâm,"Bài hát: Ước Gì - Mỹ Tâm  Em đã sống những đêm trời có ánh trăng chiếu vàng Em đã sống những đêm ngoài kia biển ru bờ cát Ước gì anh ở đây giờ này Ước gì anh cùng em chuyện trò Cùng nhau nghe sóng xô ghềnh đá ngàn câu hát yên bình.  Em đã biết cô đơn là thế mỗi khi cách xa anh Từng đàn chim cuối chân trời biếc tìm nơi bình yên Ước gì anh ở đây giờ này Ước gì em được em nghe giọng cười Và hơi ấm đã bao ngày qua mình luôn sát vai kề.  Em xa anh đã bao ngày rồi Nghe như tháng năm ngừng trôi Khi xa, em nhớ anh thật nhiều Này người yêu anh hỡi.  [ĐK:] Ước gì em đã không lỡ lời Ước gì ta đừng có giận hờn Để giờ đây cô đơn vắng tanh Đời em đã mất anh rồi.  Ước gì cho thời gian trở lại Ước gì em gặp anh một lần Em sẽ nói em luôn nhớ anh Và em chỉ có anh thôi.  ",Ước Gì
"DJ Thái Hoàng,Mỹ Tâm","- Hiện chưa có lời bài hát nào cho Đâu Chỉ Riêng Em (DJ Thái Hoàng Remix) do ca sĩ DJ Thái Hoàng , Mỹ Tâm trình bày. Bạn có thể click vào đây để đăng lời cho bài hát này. ",Đâu Chỉ Riêng Em (DJ Thái Hoàng Remix)
Mỹ Tâm,Như Một Giấc Mơ (Live) - Mỹ Tâm  vẫn biết vẫn nhớ hay là mong cũng thế thôi bao nhiêu yêu thương cũng chỉ như một giấc mơ đã cố gắng sống khi tình yêu ta cách xa nhưng con tim đau vì không ngăn nỗi nhớ anh  yêu người em yêu hơn chính em trao người con tim yêu thương mãi vậy mà sao anh ra đi để lại em trong cơn mơ giờ mình em mang hoang mang rồi em khóc... mong người sẽ quay về cho đêm nay em ôm được bờ vai anh thét lên để nhờ nỗi lòng xua tan đi bao nhiêu cay đắng với tiếc nuối em không tin em vẫn chờ đợi người quay về với những sóng gió cho cuộc tình đôi ta em không tin em vẫn cứ nhớ anh hoài dù dặn lòng mình sẽ không nhắc nhớ đến nữa...  vẫn ánh mắt ấy vẫn là anh như lúc xưa em đưa đôi tay để được níu giữ lấy anh đã cố gắng lắm để mình quên những giấc mơ nhưng tim em đau vì không ngăn nỗi nhớ anh... ,Như Một Giấc Mơ (Live)
Mỹ Tâm,"Bài hát: Nắm Lấy Tay Nhau - Mỹ Tâm  Biển xanh cát trắng, trời mây với nắng Đàn chim vỗ cánh nhẹ lướt trên sóng bao la Nhìn về nơi xa, và em thấy anh Tình yêu nơi anh là tia nắng ấm bên em.  Người ở nơi đâu, người về nơi đâu Những bước chân anh đi em muốn theo anh suốt đời Dù là nơi xa, dù là ngàn phong ba Hãy nắm lấy tay nhau giữ mãi bên nhau Bao yêu thương sẽ theo con đường ta đi.  Thời gian không xa, gần nhau không lâu Dù là nơi đâu niềm tin vẫn dạt dào Tình yêu chấp cánh, và em có anh Tình yêu đôi ta là muôn ánh sáng trong đêm.  Người gọi tên em, em sẽ đến bên anh Những giấc mơ theo anh nơi ấy sẽ không đổi thay Mình gần bên nhau, mình kề vai nhau Hãy nắm lấy tay nhau, giữ mãi bên nhau Bao yêu thương sẽ theo con đường ta đi Bao yêu thương sẽ theo con đường ta đi. ",Nắm Lấy Tay Nhau
Mỹ Tâm,"Bài hát: Cuộc Tình Không May - Mỹ Tâm  Giờ em biết, con tim người thay đổi rồi Một hình bóng nay đã khác xưa không còn là anh người em vẫn mơ Giờ em biết, cuộc tình mình hết thật rồi Và khoảng trống giữa những ngón tay giờ sẽ không có anh đan vào nữa Người cứ đi đi, đừng đắn đo chi Đoạn đường ta có nhau giờ đây mình em bước đi...  ĐK:  Người yêu hỡi dẫu đã biết ta phải xa cách rồi Vẫn luyến lưu kỉ niệm khôn nguôi Nhưng chiếc hôn ngọt ngào trên môi.. Giờ tan vỡ, những kí ức trôi dạt theo gió trời Nước mà rơi mà người đâu hay Tiếc thương cho cuộc tình không may...Đổi thay !!! ",Cuộc Tình Không May
"Mỹ Tâm,Karik","Bài hát: Em Thì Không - Mỹ Tâm, Karik  Anh lung linh cao sang như mỹ nam Nên bao cô luôn đeo theo bước anh, em thì không! Cô khen anh ga lăng không nếp nhăn Đưa đi ăn, đi chơi đi khắp nơi, em thì không!  Cô ta đi bên anh trông rất hay Cô ta tung hô tên anh khắp Face, em thì không! Em vô tư ngân nga mấy khúc ca Em không hay, không nghe, không biết đâu anh tên gì?!  *** Thế gian nhiều người gieo đớn đau Cần gì khi sống hơn thiệt vài câu. Thì sống thôi cần gì phải thế nào Ngồi lại ta hát không vương âu sầu.  Cô ta ca lên hay như Mỹ Tâm Cô ta xinh tươi modern nhất năm, em thì không! Cô ta luôn khen anh không giống ai, Anh không ghen không tuông không dối gian, em thì không!  Cô ta đi bên anh trông rất hay Cô ta tung hô tên anh khắp Face, em thì không! Em vô tư ngân nga mấy khúc ca Em không hay, không nghe, không biết đâu anh tên gì?  *** Thế gian nhiều người gieo đớn đau Cần gì khi sống hơn thiệt vài câu. Thì sống thôi cần gì phải thế nào Ngồi lại ta hát không vương âu sầu.  Cô ta khen anh oai phong, điển trai Đi Bentley, Audi trông rất oai, em thì không! Cô ta khen anh đây cũng rất men Tung đô la kim cương không tiếc chi, em thì không!  Cô ta đi bên anh trông xứng đôi Cô ta tung hô tên anh khắp nơi, em thì không! Em vô tư ngân nga mấy khúc ca Em không hay, không nghe, không biết đâu anh tên gì?  *** Thế gian nhiều người gieo đớn đau Cần gì khi sống hơn thiệt vài câu. Thì sống thôi cần gì phải thế nào Ngồi lại ta hát không vương âu sầu.  Nhân gian luôn hơn thua với bán mua Ganh đua nhau xem ai là nữ Vua, em chịu thua! Nhân gian luôn bon chen hay oán ghen Chê bai nhau sau lưng rất nhỏ nhen, em chịu thua!  Nhân gian luôn khoe khoang những chiến công Luôn tranh nhau bao nhiêu thứ viễn vông, em thì không! Em vô tư ngân nga mấy khúc ca Không ba hoa, điêu ngoa hay dối gian, em thật thà...  *** Thế gian nhiều người cũng giống nhau Người nào cũng muốn tranh giành ngôi báu. Thì cứ tranh để rồi mang đớn đau Còn em cứ sống không vương âu sầu.  Xin nhân gian ngừng dối nhau một ngày Xin cho em được nói câu tỏ bày Xin yêu chân thành với con tim này Trao nhau yêu thương nguyện suốt cuộc đời. ",Em Thì Không
