singers,lyric,id,title
"Masew, B Ray, RedT, ","Bài hát: Lửng Lơ - Masew, B Ray, RedT, Ý Tiên  Ngày trôi dài hơn đêm Đôi ta chỉ mong yên bình Đừng theo làn mây trôi Buông lơi niềm tin quá vội Lưng chừng giữa bao hạnh phúc mới lửng lơ tình yêu cũ Chạy theo ngàn đau thương Con tim này đã héo mòn Chẳng nguyên vẹn như xưa Nước mắt giờ trôi theo vết mưa Đốt sạch hết tháng ngày đã có nhau giờ đã chết  Don’t wanna be like that Nhìn về phía trước my bae Bao nhiêu yêu thương em thấy không Sao cứ mãi tìm mây với giông Những phút lửng lờ Còn tim thẩn thờ Sao em nỡ Yêu ai yêu hết con tim Đừng vì lí trí mà tìm Tìm một hạt nắng mới tới bên em Tháng năm đâu chờ, mà sao em vẫn mơ  ĐK: Lửng lơ cùng với tình mình Lửng lơ làm cháy lòng tình Lửng lơ cùng với từng phút giây thiết tha chúng ta giờ đã chết Lửng lơ rồi đừng một mình Lửng lơ chẳng biết dành tình yêu cho ai Và rồi em cứ mong chờ Một ai đó ân cần tới bến Lửng lơ rồi đứng một mình  Rap: BRay Anh, uống nhiều một tý Nhạc tình, viết như cuốn nhật kí Em, ngã vào bầu trời mới lạ Em, đó là phản vật lý Hắn, hứa hẹn em một chân trời Em vội gật đầu như đứa trẻ vâng lời Anh lửng lơ vẫn chờ và vẫn đợi Tất cả những nơi mà ta đã từng tới Chỉ là hắn đưa em, quyển sách chưa xem Em vội thiêu đốt cả thư viện  Hắn chỉ cho em thấy vài được từ đồng nghĩa Em đã vội vàng nghi ngờ cuốn từ điển Sao em hôn môi anh ta bằng son môi anh trả Yêu và thương nhận lại dối và trá Và Em quay trở về khi mối tình ra đi trong vội vã That what you tell me Rap : Tiên Love is in the air imma take you high I’ll drive you crazy everynight our love is on fire My love for you is blinded I’ll love you through all kisses We’ll just gonna be so fuckin fine  Don’t wanna be like that Nhìn về phía trước my bae Bao nhiêu yêu thương em thấy không Sao cứ mãi tìm mây với giông Những phút lửng lờ Còn tim thẩn thờ Sao em nỡ Yêu ai yêu hết con tim Đừng vì lí trí mà tìm Tìm một hạt nắng mới tới bên em Tháng năm đâu chờ, mà sao em cứ mơ  ĐK: Lửng lơ cùng với tình mình Lửng lơ làm cháy lòng tình Lửng lơ cùng với từng phút giây thiết tha chúng ta giờ đã chết Lửng lơ rồi đừng một mình Lửng lơ chẳng biết dành tình yêu cho ai Và rồi em cứ mong chờ Một ai đó ân cần tới bến Lưng lơ rồi đứng một mình ",1bae4269-ebc7-4457-ae26-ebea763357e2,Lửng Lơ
"Lê Thiện Hiếu, ","Bài hát: Chính Hôm Nay - Lê Thiện Hiếu  Nếu hôm nay anh chẳng nói ra Thì chắc sau này khi già Anh sẽ ngồi nhớ lại tháng ngày qua rồi trách mình sao ngày xưa ngốc quá Và nếu hôm nay anh chẳng nói ra Thì biết đâu em lướt qua Sẽ là cơn gió vội đến vội đi hay là người sẽ cùng anh sát bên thầm thì I love you, yes I do, yes I do, yes I do Sẽ gặp em tối nay Anh sẽ nói em nghe, nói em nghe, nói em nghe những điều ấy  (ĐK) Vì hôm nay chính là ngày anh đặt cược cả con tim Để thổ lộ điều tận sâu kín, oh~ Wanna be with you Chính hôm nay, anh sẽ nắm chặt tay em Hoặc là ngày chìm vào quên lãng oh~ Ngày anh nói ra hết, dù NO hay YES anh vẫn bước bên cạnh em.  Chúng ta bên nhau cũng đã lâu Mà chắc em không biết đâu Mỗi ngày anh mong mình sẽ gặp nhau để được ngồi nghe em nói thật lâu Rồi lúc anh vui hay ngày anh buồn Là chính em luôn sát bên Chỉ cần nhìn thấy đôi mắt nâu ấy Là ngày tăm tối của anh bỗng chốc sáng bừng lên   (ĐK) Vì hôm nay chính là ngày anh đặt cược cả con tim Để thổ lộ điều tận sâu kín, oh~ Wanna be with you Chính hôm nay, anh sẽ nắm chặt tay em Hoặc là ngày chìm vào quên lãng oh~ Ngày anh nói ra hết, dù NO hay YES anh vẫn bước bên cạnh em.   Anh bước bên cạnh em (I will always be here with you) Anh bên cạnh em Anh bước bên cạnh em (I will always be here with you) Anh bên cạnh em ",cf0fed94-4860-471b-94c4-39a360115106,Chính Hôm Nay
"Giang Giang, ",,1ca49999-b994-48c4-89be-6a6c26475e77,Anh Ơi Ở Lại Cover
"Addy Trần, ","Chuyện cũ cũng đã quá lâu, mà tôi cũng chẳng muốn nhắc đến đâu Chỉ là buồn vui chuyện xưa ùa về nên tôi mới kể cho mọi người nghe Ngày đó tôi cũng yêu em vào một chiều thu khi đông chớm sang Chợt em lại rẽ sang ngang với ai để cho tình yêu trong tôi vỡ tan  Em nói sẽ yêu tôi trọn đời mà giờ lại đi bên một người mới Em nói với tôi ấy chỉ là bạn mà sao cả 2 khóa môi Em xin tôi cho em thêm thời gian để e chứng mình tình yêu Và cho đến hôm nay câu chuyện vẫn vậy, đành lòng anh phải nói ra  Em là đồ nói dối chẳng biết bao nhiêu chuyện em đã giấu sau tôi Mỗi khi em đi với ai hay những lí do khiến tôi đau lòng Mọi chuyện chuyện hôm nay đã rõ, chẳng cần là em hay ai hiểu cho Tôi sẽ vứt bỏ cuộc tình này, tạm biệt trò chơi của em ở đây  Em là đồ nói dối chẳng hiểu sao tôi lại bên em đến hôm nay Để giờ đây biết em đổi thay Con tim của tôi vỡ tan từng ngày  Đến đây đường ai nấy bước, ngàn lần chẳng muốn em sẽ quay về Từ tận đáy tim tôi hiểu rằng, mình sinh ra đâu phải là của nhau  Điện thoại em luôn luôn hết pin, mỗi lần anh đây muốn nói nhớ em Rồi em lại quên hôm qua ở đâu với ai làm gì vì sao không nói với anh Để anh phải theo em suốt đêm rồi anh phải nhắn vì sợ em trễ giờ Mẹ em gọi về sớm nhưng sao đến khuya vẫn ở nhà ai sao không phải nhà anh  ",9344cf5f-2df7-4765-abb6-8801058f0ce9,Đồ Nói Dối
"Ưng Hoàng Phúc, Khánh Jayz, ","Bài hát: Đời Cho Những Gì - Ưng Hoàng Phúc, Khánh Jayz  Hãy cho anh được 1 lần hét lên. Người và người, vội lắm bon chen, nhiều điều lừa dối nhau. Trời đêm khuya, nay lại ngồi nhìn lá bay. Phải hỏi đời! Tại sao cho anh thật nhiều đắng cay?  Chọn đường nào đúng cho lương tâm đi không làm sai? Chọn đường thật khó anh đi riêng anh không còn ai? Vậy nếu không đi sẽ được gì? Sẽ có gì ? Vị đắng cay kia có ngọt ngào, như anh vẫn thường mơ?  Vùi lấp cơn đau của cuộc đời bằng nụ cười. Mọi khó khăn kia, ở trong đời, chỉ là cơn mưa mà thôi! Đời cứ khen chê, về anh thôi mặc kệ đi ! Miệng nói thế thôi! Nhưng thật ra lòng không quên được đâu.  Phải điếc không nghe hay phải tập lặng nhìn rồi cho qua. Tập ngước lên trời, không cúi đầu, để nước mắt đừng rơi. Nước mắt đừng rơi! Ơ ơ ời! Rơi ơ ời  [Rap:] Gạt đi nước mắt, giữ chặt lại trong lòng. Dù ai khen chê, chắc anh vẫn sống bản lĩnh của thằng đàn ông! Cũng có đôi khi mệt nhoài chỉ muốn nằm yên bất động. Chỉ còn em vẫn ở trên cuộc đời, để không làm em thất vọng.  Đời trai sóng gió, phong ba vấp ngã, phải ngẩng cao đầu. Dù đời có dập, nhưng khi tơi tả tâm can, anh vẫn bao ngầu. Thì bởi vì có sao đâu, đôi chân chẳng bước lầm đường. Nếu như phải thua ở trong cuộc chiến, thì anh cũng không tầm thường !!!  [Đk:] Hãy cho anh được 1 lần nói ra. Chẳng cần làm người tốt, nhưng không thể nào làm kẻ xấu xa. Sợ đến khi thua, quanh anh chẳng còn ai ? Anh sợ sẽ, nhắm mắt xuôi tay vào ngày mai hô hô  Chọn đường nào đúng cho lương tâm đi không làm sai? Chọn đường thật khó anh đi riêng anh chẳng còn có ai? Vậy nếu không đi, sẽ được gì? Sẽ có gì? Vị đắng cay kia có ngọt ngào, như anh vẫn thường mơ?  Vùi lấp cơn đau của cuộc đời bằng nụ cười. Mọi khó khăn kia, ở trong đời, chỉ là cơn mưa mà thôi! Đời cứ khen chê, về anh thôi mặc kệ đi! Miệng nói thế thôi! Nhưng thật ra lòng không quên được đâu.  Phải điếc không nghe hay phải tập lặng nhìn rồi cho qua. Tập ngước lên trời, không cúi đầu, để nước mắt đừng rơi. Nước mắt đừng rơi . ",65b2d146-f5fe-4257-af39-db93a20610b4,Đời Cho Những Gì
"Bùi Anh Tuấn, Hiền Hồ, ","Hỡi em yêu! Anh chỉ muốn nói 1 điều Lấy anh đi, để thôi đường về cô liêu Bên nhau sớm chiều  Thương nhau thật nhiều Và yêu như chưa từng yêu Hỡi anh yêu! Em cũng muốn nói 1 lời  Mình cưới nha anh Vì em chỉ cần anh thôi Yêu anh mất rồi Chưa bao giờ nguôi  Vì sinh ra để thành đôi Đừng ngại ngần gọi tên em đi Đừng ngại ngần gọi tên anh đi Đừng ngại ngần gọi tên nhau đi  Mình cưới nhau đi Chần chờ gì chồng ơi em đây Chần chờ gì vợ ơi anh đây Lời tuyệt vời nào hơn hôm nay  Mình cưới nhau ngay Yes i do Anh sẽ mãi là chồng của em Yes i do  Em sẽ mãi là vợ của anh Hôn nhau đi em còn chờ gì Hôn em đi anh còn chờ gì Từ nay về sau mình chung bước đi  Yes i do Anh yêu em hơn ngày đắm say Yes i do Em yêu anh trong từng phút giây  Yêu nhau đến mai về sau Yêu nhau đến khi bạc đầu Mình sẽ hạnh phúc suốt nơi đâu Chỉ cần có nhau. ",1c7ac5f0-bfec-453a-966a-51fd399869b9,Cưới Nhau Đi (Yes I Do)
"Trọng Hiếu, ","Verse 1: Chạm vào một ánh mắt Say như ngàn tia nắng dịu êm Chạm vào nụ cười em Anh quên đi mọi thứ trên đời  Chẳng thể nào cố giấu Không thể nào ngừng nghĩ về em Là người duy nhất khiến anh yêu đến nổ tung.  Pre-Chorus 1: Lại gần đây ôm anh thật lâu Nhẹ nhàng bàn tay đan vào nhau Mặc kệ thế giới chúng ta vô hình, tan biến trong nhau  Dù phải xa trăm năm biển sâu Chỉ cần anh biết em đang ở đâu Buồn vui nước mắt cất trong anh này Anh vẫn ngay đây  Chorus 1: Yêu là dù cả thế gian có quay lưng lại Mình vẫn giữ tay nhau chẳng rời xa đâu Ta cùng biến mất theo nhau tới tận cùng Và ở lại bên nhau thật lâu  Em là điều quý giá nhất anh có trong đời Gửi tặng trái tim này dành riêng em thôi Anh thả những nhớ thương theo gió lên trời Rằng anh yêu em người ơi We are invisible  Pre-Chorus 2: Lại gần đây ôm anh thật lâu Nhẹ nhàng bàn tay đan vào nhau Mặc kệ thế giới chúng ta vô hình, tan biến trong nhau  Dù phải xa trăm năm biển sâu Chỉ cần anh biết em đang ở đâu Buồn vui nước mắt cất trong anh này Anh vẫn ngay đây  Chorus 2: Yêu là dù cả thế gian có quay lưng lại Mình vẫn giữ tay nhau chẳng rời xa đâu Ta cùng biến mất theo nhau tới tận cùng Và ở lại bên nhau thật lâu  Em là điều quý giá nhất anh có trong đời Gửi tặng trái tim này dành riêng em thôi Anh thả những nhớ thương theo gió lên trời Rằng anh yêu em người ơi We are invisible  C Part Yêu là dù cả thế gian quay lưng lại Yêu là dù cả thế gian quay lưng lại Mình vẫn giữ tay nhau chẳng rời xa  Chorus 3: Yêu là dù cả thế gian có quay lưng lại Mình vẫn giữ tay nhau chẳng rời xa đâu Ta cùng biến mất theo nhau tới tận cùng Và ở lại bên nhau thật lâu  Em là điều quý giá nhất anh có trong đời Gửi tặng trái tim này dành riêng em thôi Anh thả những nhớ thương theo gió lên trời Rằng anh yêu em người ơi We are invisible ",bf486569-9611-42e2-ab17-2523297bc32b,Yêu Là... (Invisible)
"Thái Đinh, ",Bài hát: Em Có Còn Dùng Số Này Không - Thái Đinh  Ngày em đi xa Cứ ngỡ như là mới hôm qua Số máy em còn trong danh bạ Dẫu biết em ở nơi xa lạ chẳng còn nghe đâu Ngày em đi xa Những thói *** này chẳng phôi pha Có mấy đêm anh vẫn *** gọi Số máy em rồi chẳng 1 lời hồi âm Liệu rằng ngày mai nếu quay lại Em có ngại ngần nghe máy tôi Đừng làm nhịp chuông cứ ngân dài Theo nỗi nhớ em lặng im không thôi  Liệu em có còn dùng số... này không người Để mỗi khi ta cách xa Lại nhớ vu vơ qua những cơ mơ Em Có còn dùng số này không Em hãy nói đi một câu người ơi Làm sao để vơi những mong chờ vẫn thế Khi không có em  Dù anh vẫn biết Sẽ đến lúc phải cách xa thôi Phố vắng đêm giờ đã lên rồi Quán vắng em anh vẫn đang ngồi mà lòng chưa vơi Dù anh vẫn biết những giấc mơ rồi cũng phai phôi Những thói *** rồi cũng xa rời Những dấu yêu rồi cũng xa vời từng cây Mà sao anh không thể lặng im cho những Cơn mơ mỗi đêm cứ thế thôi mong thôi hy vọng Những nhịp chuông ngân lặng lẽ cất lên vô vọng Chờ đến bao giờ nỗi nhớ sẽ vơi  Liệu em có còn dùng số này không người Để mỗi khi ta cách xa Lại nhớ vu vơ qua những cơ mơ Em Có còn dùng số này không Em hãy nói đi một câu người ơi Làm sao để vơi những mong chờ vẫn thế Khi không có em ,0cde450f-c314-490f-a48b-c30ff6d3761c,Em Có Còn Dùng Số Này Không
"Đinh Uyên, ","Bài hát: Rất Muốn Quay Đầu Nhìn Em - Đinh Uyên  Một hôm phố đông bao người qua Hàng cây lao xao dưới mây trời mùa hạ Nhìn theo bóng ai *** từ xa Thì ra người xưa yêu dấu đấy mà  Pre: Bước đi, chẳng ai gọi tên Từ đôi mắt như vô hồn vờ chưa từng *** Thời gian ơi ngừng trôi vài giây Để tôi kịp giấu giếm phút bối rối trước ánh mắt ấy  Chorus: Rất muốn quay đầu nhìn em Hỏi rằng anh ta có như em từng mơ? Ngày qua bên em viết thơ hay làm ngơ? Vì sao nhìn em lẻ loi sao thẫn thờ?  Chorus: Rất muốn quay đầu nhìn em Nhìn xem đôi môi cứ như cần được hôn Tình duyên năm xưa giá như không vùi chôn Thì bây giờ ta đâu sống khác với ước muốn  Cầm lên bức thư tay ngày xưa Tình yêu trong em vốn luôn là mập mờ Vì anh thích yêu như trẻ thơ Lòng em là mong ai khác tốt hơn.  Rap: Ok ok babe, anh biết là anh mãi không phải là người mà em ước mong Nhưng hãy nói anh nghe một điều rằng em vẫn chưa quên đi hết chuyện mình đúng không? Anh tự hỏi trong lòng rồi cũng thấy viễn vông Vì qua tất cả anh cũng chỉ là kẻ đứng sau trong bức hình thanh xuân mà em muốn xoá phông.  Nhìn lại xem tất cả những gì mà ta đã làm ra Anh nghĩ là hoa và quà của em vẫn còn thua xa Em không có cuộc sống xa hoa, nhưng mà anh vẫn đang cố xây nhà Còn em thì bước về phía người ta. ",0d1e7aed-ce66-4616-be9f-fc027ca85985,Rất Muốn Quay Đầu Nhìn Em
"2T, Văn, ","Bài hát: Liệu Giờ - 2T, Văn  Có mấy khi nghẹn ngào lặng lẽ với biết bao cồn cào Thu mình trong căn phòng tối Ta chẳng muốn quan tâm điều gì và chỉ muốn nghe mưa thầm thì Bao nhiêu suy tư dần lớn thêm  Vô tình gặp gỡ rồi mang theo nhiều mộng mơ Để đôi tim kia cứ thế mong chờ Ai ngờ gần nhau không bao lâu mà đậm sâu Giờ xa nhau mới thấy lòng mình đau  Liệu những ân tình ngày đó đó Có phai tàn nhanh như hoa quỳnh Thì đôi mi ai kia có vui không Liệu ánh dương còn rực rỡ rỡ Lỡ khi gặp nhau giữa phố đông Nhìn nhau ta có cười không  Giờ những kỷ niệm đổi lấy lấy Bấy nhiêu thời gian mới lấp đầy Này con tim ai kia có ổn không Giờ phép màu nào có thể thể Đễ ta vẹn nguyên như trước kia Thì giờ cả hai có ai buồn không  Tình ta như một đoá quỳnh khoá mình đành phải nhắm mắt bước qua nhau Gần bao lâu mà đậm sâu thầm đau miệng cười giờ chẳng nói ra câu Vì, ta như ánh mặt trời đi rồi về khác lối Vô tình thôi mà sao để lại nhiều rắc rối Như ngày đến rồi đêm đi để lại sương mai Tim không lối ra vào mà sao giờ vương ai này Nếu như ta chỉ lướt qua liệu yêu thương có lọt vào Nếu chén rượu chẳng đắng cay liệu tình ta có ngọt ngào Giờ thời gian cho ta thêm kỷ niệm Để kỷ niệm ngày đó bên ta theo thời gian Phá vỡ được quy tắc thì ta quên nhau thật dễ dàng Thì có nỗi buồn nào để mang sợ gì chuyện tình mình dỡ dang  Liệu giờ nước mắt đó có đổi lấy được thời gian Liệu giờ những nhớ thương ta mang , còn vấn vương bao lâu Ngày thế cứ thế cứ thế ta chìm sâu Liệu giờ giờ ai có hay không ",542e37f3-0a72-43a3-8763-8a8a8a3b9767,Liệu Giờ
