singers,lyric,id,title
"Masew,B Ray,RedT","Bài hát: Lửng Lơ - Masew, B Ray, RedT, Ý Tiên  Ngày trôi dài hơn đêm Đôi ta chỉ mong yên bình Đừng theo làn mây trôi Buông lơi niềm tin quá vội Lưng chừng giữa bao hạnh phúc mới lửng lơ tình yêu cũ Chạy theo ngàn đau thương Con tim này đã héo mòn Chẳng nguyên vẹn như xưa Nước mắt giờ trôi theo vết mưa Đốt sạch hết tháng ngày đã có nhau giờ đã chết  Don’t wanna be like that Nhìn về phía trước my bae Bao nhiêu yêu thương em thấy không Sao cứ mãi tìm mây với giông Những phút lửng lờ Còn tim thẩn thờ Sao em nỡ Yêu ai yêu hết con tim Đừng vì lí trí mà tìm Tìm một hạt nắng mới tới bên em Tháng năm đâu chờ, mà sao em vẫn mơ  ĐK: Lửng lơ cùng với tình mình Lửng lơ làm cháy lòng tình Lửng lơ cùng với từng phút giây thiết tha chúng ta giờ đã chết Lửng lơ rồi đừng một mình Lửng lơ chẳng biết dành tình yêu cho ai Và rồi em cứ mong chờ Một ai đó ân cần tới bến Lửng lơ rồi đứng một mình  Rap: BRay Anh, uống nhiều một tý Nhạc tình, viết như cuốn nhật kí Em, ngã vào bầu trời mới lạ Em, đó là phản vật lý Hắn, hứa hẹn em một chân trời Em vội gật đầu như đứa trẻ vâng lời Anh lửng lơ vẫn chờ và vẫn đợi Tất cả những nơi mà ta đã từng tới Chỉ là hắn đưa em, quyển sách chưa xem Em vội thiêu đốt cả thư viện  Hắn chỉ cho em thấy vài được từ đồng nghĩa Em đã vội vàng nghi ngờ cuốn từ điển Sao em hôn môi anh ta bằng son môi anh trả Yêu và thương nhận lại dối và trá Và Em quay trở về khi mối tình ra đi trong vội vã That what you tell me Rap : Tiên Love is in the air imma take you high I’ll drive you crazy everynight our love is on fire My love for you is blinded I’ll love you through all kisses We’ll just gonna be so fuckin fine  Don’t wanna be like that Nhìn về phía trước my bae Bao nhiêu yêu thương em thấy không Sao cứ mãi tìm mây với giông Những phút lửng lờ Còn tim thẩn thờ Sao em nỡ Yêu ai yêu hết con tim Đừng vì lí trí mà tìm Tìm một hạt nắng mới tới bên em Tháng năm đâu chờ, mà sao em cứ mơ  ĐK: Lửng lơ cùng với tình mình Lửng lơ làm cháy lòng tình Lửng lơ cùng với từng phút giây thiết tha chúng ta giờ đã chết Lửng lơ rồi đừng một mình Lửng lơ chẳng biết dành tình yêu cho ai Và rồi em cứ mong chờ Một ai đó ân cần tới bến Lưng lơ rồi đứng một mình ",e29a5ae4-ee55-4737-9cc2-85212bd33324,Lửng Lơ
Quốc Thống,,4400bbdd-9a02-4afd-b5f9-f7401188f4bd,Đừng Yêu Nữa Em Mệt Rồi Cover
Đức Phúc,"Chặng đường dài anh đi Chờ một hình bóng ai Một người mà vẫn nhớ, vẫn yêu thương bấy lâu Chính em người anh kiếm tìm Chỉ có em là mãi mãi luôn ở trong tim  Chúng ta đừng, đừng rời xa nhau như hai ta đã từng Anh muốn được dành trọn yêu thương như khi xưa đã hứa Sẽ đi cùng đoạn đường phía trước, giữ lấy nhau thật chặt Hãy để anh bước cùng em  Ở bên em ngày hay đêm Thời gian trôi qua nhanh êm đềm Ngồi bên nhau quên thế gian, bình yên nhé trong vòng tay anh Dù đêm đông dù mưa giông Mình vẫn có nhau không xa rời Hứa sẽ mãi yêu em trọn đời như thế Chẳng để em cách xa anh thêm một lần Có e ",f30779d7-13e8-4532-90ea-2756782d76b4,Chẳng Để Em Xa Anh
"Mít,Nho",,5f32db13-024b-4a82-af5f-1d1538b92597,Một Điều Anh Không Biết
Dương Minh Tuấn,"Bài hát: Đừng Gọi Cho Anh Nữa - Dương Minh Tuấn  Giờ đã quá xa, bao yêu thương hôm qua bỗng dưng phai mờ Người đừng nói nữa chi, những câu dối trá đầu môi Biết rằng em đùa vui cùng ai trong một đêm cô đơn quạnh vắng Thế là hết từ nay, mình chia ly đường thành hai lối, babe  Đừng gọi cho anh nữa, (khi em đang say) Vì giờ đây anh đã đổi thay, (thôi ta chia tay) Đừng gọi cho anh nữa, (khi em đang say) (Tell me you love me, tell me you love me)  Người cứ bước đi, mang yêu thương lúc xưa xa rời Và đừng níu kéo chi, anh đã không còn tin Biết rằng em đùa vui cùng ai trong một đêm cô đơn quạnh vắng Thế là hết từ nay, mình chia ly đường thành hai lối, babe  Đừng gọi cho anh nữa, (khi em đang say) Vì giờ đây anh đã đổi thay, (thôi ta chia tay) Đừng gọi cho anh nữa, (khi em đang say) (Tell me you love me, tell me you love me)  [RAP] I know you love this, I know you do I know you want me, but who wouldn’t. woohoo I got nothing to do but put on my shoes I’m ready to go, I got nothing to lose  Thôi thôi em đi đi đừng nói với an hem sẽ đổi thay Trong khi anh đang nghe giọng em đùa vui bên ai lúc này  I love you, I need you but I don’t wanna be with you I miss you and I want you but now I can’t be a fool, babe  Đừng gọi cho anh nữa, (khi em đang say) Vì giờ đây anh đã đổi thay, (thôi ta chia tay) Đừng gọi cho anh nữa, (khi em đang say) (Tell me you love me, tell me you love me) ",661ff37b-8490-40c2-85a8-4b108e6b5010,Đừng Gọi Cho Anh Nữa
Ali Hoàng Dương,"Ngồi nghe em hát vu vơ câu ca ngọt ngào Như gửi lời chào đến con tim độc thân bấy lâu Có lúc anh như ngủ quên trong những giai điệu này Có lúc con tim như muốn đứng im vài giây  Anh mơ một ngày không xa hai ta sẽ gần hơn Anh mơ môt ngày không xa hai ta sẽ nhớ nhau nhiều Rồi đến thương nhiều, rồi đến yêu nhiều Là người ta không thể thiếu  Anh muốn siết thật chặt đôi môi Anh muốn nắm đôi tay nhỏ bé đi khắp phương trời Anh muốn nói cùng mây rằng anh đã thương thật rồi, đã yêu thật rồi  Có những nỗi niềm của riêng anh Anh sẽ giữ trong anh hình bóng mang tên em Giấu nỗi nhớ tận sâu vào nơi đáy con tim và mơ ! Anh mơ một ngày không xa  Bằng lòng đi em cùng anh say đắm giấc mơ thần tiên Bằng lòng theo anh mình cùng đi hết cuộc đời Rồi chúng ta sẽ già nhưng vẫn không rời nhau ! ",94fb502b-04dd-4650-9c7d-3b88e49b1c8f,Mơ Một Ngày Không Xa
"Đào Duy,Thy","Lưng Chừng Yêu - Đào Duy, Thy  Lưng chừng yêu nhau Lưng chừng buông tay Giật mình tỉnh giấc Liệu còn bên nhau? Không còn khoảnh khắc nồng say... Không còn những mộng mơ Lựa chọn dừng bước, phải không em? Buông tay Em, nước mắt Anh có rơi? Không bên Em, thật khó để yêu ai... Anh đắn đo, lắng lo, vẫn lưng chừng!!! Lưng chừng lạc mất nhau, lưng chừng tìm lại nhau... Lưng chừng chưa tới đâu, tới đâu... LƯNG CHỪNG TA....  Hắn sinh ra đã không được đặt trên ngai vàng Đó luôn là lý do hắn phải cố gắng gấp trăm ngàn Nếu duyên trời cho hắn được quyền xoay ngược dòng thời gian Thì vẫn cứ lựa chọn con đường ấy dẫu biết rằng trải qua gian nan Bời người phụ nữ hắn yêu mà Sẽ không bao giờ cảm thấy bất an Bời người phụ nữ hắn yêu sẽ không bao giờ phải vội vã Chuyện miếng ăn cơm manh gạo khi ta về chung nhà hắn chẳng để em lo toan Hắn xin lỗi, Vì hắn là gã đàn ông lưng chừng Hắn lại xin lỗi. Vì em yêu gã đàn ông lưng chừng Hắn vẫn còn đang lưng chừng sự nghiệp còn chưa vững Và niềm vui hắn mang lại cho em liệu rằng có cân xứng Lớp trang điểm của hắn hằng ngày không phải phấn mà là khói là bụi Tâm trạng của hắn sau một ngày không phải bình yên mà là buồn và tủi Tình yêu hắn dành cho em không phải bên nhau từ sáng cho tời chiều Mà là những chuyến du lịch đến những nơi em thích chẳng cần phải lo tiền tiêu Tình yêu hắn dành cho em không phải đám cưới còn xin tiền ba má Mà là lúc quỳ xuống cầu hôn kèm theo lời nói hắn tự mua được nhà Lưng chừng lời nhạc cũng chẳng có đầu có cuối Tâm sự này hắn lặng người để đó đâu có nguôi Yêu một gã đàn ông lưng chừng em sẽ chẳng thể có niềm vui vô tư tuổi trẻ Yêu một gã đàn ông lưng chừng sẽ chẳng có nhiều những ngày tháng đón đưa Yêu một gã đàn ông lưng chừng là chờ đợi mà chẳng được đắp bù bằng điều nhỏ bé Tiếc chi nữa gã đàn ông lưng chừng  Buông tay Em, nước mắt Anh có rơi? Không bên Em, thật khó để yêu ai... Anh đắn đo, lắng lo, vẫn lưng chừng!!! Lưng chừng lạc mất nhau, lưng chừng tìm lại nhau... Lưng chừng chưa tới đâu, tới đâu... LƯNG CHỪNG YÊU...  Tiếc chi nữa, bởi hắn chỉ là gã đàn ông lưng chừng Không thể mang đến tình yêu son rỗi, cũng chưa thể là mái ấm yên bình Em biết không? Những gã ấy rồi cũng sẽ lớn nhưng đoạn đứt quãng này không phải ai cũng trải qua... ",51fdc944-6c5d-4e4c-b5e2-5957ad20896c,Lưng Chừng Yêu
"Chi Pu,Đạt G","Lại là chia tay sau những lần không hiểu nhau Tại vì thơ ngây bao nhiêu lần yêu vỡ nát nữa rồi Tại vì hôm mưa anh đưa chiếc ô Đã làm trái tim em có cầu vồng  Mà cầu vồng chỉ có khi mưa vừa tan Anh cũng rời đi khi anh hết yêu Vì sợ cô đơn nên em mặc kệ đúng sai Mặc kệ anh có đưa đôi bàn tay ấm áp cho ai  Chỉ cầu xin anh em đã rất đau Đừng làm mắt em vương vấn thêm buồn Dù có yêu trăm người mà trái tim không cười thì vẫn cô đơn vậy thôi Anh ơi anh ở lại, ở lại với em đi anh ở lại  Đừng làm áng mây trôi trên bầu trời một mình chơi vơi Bông hoa xinh ngoài vườn nhà giờ cũng đã xác xơ bông hoa lụi tàn thật nhiều đớn đau Mà người lo lắng đâu rồi Vì sợ cô đơn nên em mặc kệ đúng sai  Mặc kệ anh có đưa đôi bàn tay ấm áp cho ai Chỉ cầu xin anh em đã rất đau Và đừng làm mắt em vương vấn thêm buồn Dù có yêu trăm người mà trái tim không cười thì vẫn cô đơn thế thôi  Anh ơi anh ở lại, ở lại với em đi anh ở lại Đừng làm áng mây trôi trên bầu trời rồi một mình chơi vơi Bông hoa xinh ngoài vườn nhà giờ cũng đã xác xơ bông hoa lụi tàn thật nhiều đớn đau Mà người lo lắng đâu rồi.  Anh ơi anh ở lại, đừng mang cô đơn về lại Và anh ơi anh, anh ơi anh anh đừng đi Anh ơi nên dừng lại, dừng lại để thấy đôi chân em mỏi mệt Vì chạy phía sau theo anh trong cuộc đời mà anh đâu hay  Lấp lánh những ánh đèn đường hòa cùng một chút mưa giông đang kéo về thật nhiều đau đớn Chẳng còn mạnh mẽ do tình yêu. Lau mi đi em đừng buồn Vì chuyện lứa đôi đâu ai hiểu được vào một chiều tan vỡ Một người khóc một người đau ",17217664-1c94-4f1d-a685-125a2e315e14,Anh Ơi Ở Lại
Hoàng Thống,"Bài hát: FILM - Hoàng Thống  Từ đầu là mình nào có thuộc về nhau Nói ra một câu quay bước đi thật mau Từ đầu là mình đừng có nên gặp nhau Nói ra (I love you) rồi bước lui về sau Chẳng cần một người cùng đóng một bộ phim Hết phim thì chia tay, nắm tay thì buông Chẳng cần một người dù đúng hay là sai Cứ quay mặt đi chẳng đoái hoài một ai  [PRE-CHORUS] Phải làm sao Để tua nhanh hết thước phim buồn Từng ngày qua cứ in sâu trong tâm trí  [CHORUS] Nếu như ta còn yêu thì thôi cứ chôn vùi đi hết cho rồi Giấu đi bao niềm đau vào những thước phim Muốn quên đi thật nhanh mà sao cứ mong ngày ta sẽ quay lại Cứ loay hoay tìm hoài đâu có lối ra  [RAP] Khi ta bên nhau, một giây trôi qua cũng làm con tim đau Thôi quên đi mau, để không phải gieo thêm buồn rầu Thì đừng cố níu kéo để làm gì Thì đừng cố nhớ đến để làm gì Mưa rơi trên mi mắt nắng tàn tay lạnh ngắt Cố nhớ lấy lời bài hát mà ngày gặp nhau ta lắng nghe Trong căn phòng tối thật nhiều sắc thái tay ôm chặt nhau chẳng muốn về Giật mình nhận ra chỉ là bộ phim mà ta cùng nhau đóng vai chính  [PRE-CHORUS]  [CHORUS]  [BRIDGE] Thôi đừng quay mặt đi Cứ nói ra rồi bước đi cũng có muộn màng gì Có bao nhiêu điều trong lòng thì cứ nói ra  [CHORUS] Nếu như ta còn yêu thì thôi cứ chôn vùi đi hết cho rồi Giấu đi bao niềm đau vào những thước phim Muốn trôi qua thật nhanh mà sao cứ mong ngày ta sẽ quay lại Cứ loay hoay tìm hoài đâu có lối ra  [POST-CHORUS] Nếu như ta gần nhau buồn như thế Sao còn mong nhớ nhau hoài? Bước qua nhau thật nhanh như những thước phim (Vì giờ này tình ta tan vỡ) Muốn trôi qua thật nhanh mà sao cứ mong ngày ta sẽ quay lại Cứ loay hoay tìm hoài đâu có lối ra  [OUTRO] Chẳng cần một người cùng đóng một bộ phim Hết phim thì chia tay, nắm tay thì buông Chẳng cần một người dù đúng hay là sai Cứ quay mặt đi chẳng đoái hoài một ai ",4f6f35ca-c957-48c0-bafd-24a71eff8be4,FILM
"BigDaddy,Emily","Bài hát: Mượn Rượu Tỏ Tình - BigDaddy, Emily  BIGDADDY: ohhh, sự chú ý của ta lỡ va phải vào ánh mắt của nàng Rồi bùng lên trong tim ta như một đốm lửa vàng Act cool đứng hình mất 5 giây Nhìn em bên ngoài có lẽ ăn đứt mấy tấm hình đăng face Hey em ăn tối chưa nhở? Nếu rồi thì làm 1 ly Anh chỉ muốn cởi mở hơn, đừng lo mình sẽ dại dột đi Em là cô gái đẹp, phải nói với em bằng những lời hay ho Được ngồi cùng em khiến anh cảm thấy mình cũng rất gì và này nọ Em đang thôi miên anh bằng nụ cười thật duyên Cho anh cảm giác này, em là người đầu tiên Ngồi đây uống ly whisky này nhưng lại say em là chính Anh nói thật đấy không *** đùa đâu em đừng nghĩ đó là thính Từng giờ đồng hồ chậm trôi mà chả 1 ai thèm quan tâm đến Ly này ly khác, 3 say chưa chai 2 ta mới chỉ hơi chuếnh Anh mượn rượu để được giãi bày những điều nói ra vốn khó À thì mà là anh đã kết em rồi đó, nói điêu làm chó  EMILY: Uống đi nào hôm nay trời rất đẹp Chính ra em cũng hơi buồn lúc anh Đứng bên ai kia khoác tay ai kìa Thôi em say rồi đừng chấp em  Vẫn biết rằng mình là bạn bè bao lâu nay Thế nhưng liệu, liệu rằng lòng anh có đang thấy rung động khi gần em Say là cơ hội dễ nhất để Để người ta chân thật  Em mượn rượu tỏ tình đấy thì sao nào Em yêu anh yêu anh đấy thì sao nào Hu hú hu hú hu...Hu hú hu hu hu Hi vọng anh đừng ngơ ngác đừng cau mày Thôi coi như chưa nghe thấy cạn ly vậy Hu hú hu hú hu...Hu hú hu hu hu  BIGDADDY: Và dường như là cô ta đã thích tôi Ta vẫn uống hết không 1 ly nào nhấp môi Cả 2 say sưa và cùng gần lại sát ngồi Kề vai bên tôi em nói rằng chỉ thích nghe Bích rap thôi Ta sẽ lêu hêu khắp phố phường vì giờ này còn sớm chán Những nụ hôn, cái ôm mặc kệ cho trời tới sáng Em có uống được tiếp hay không thì mình có thể thả phanh Còn nếu như em đồng ý thì sau đó có thể về nhà anh  EMILY: Ta đi chơi tiếp đi bên nhau cho hết đêm dài Bao lâu không biết say không được thoải mái như vậy.. Sợ rằng vào ngày mai 2 ta lại ngại ngùng nhau đôi khi không *** nhìn mặt Mặc kệ đời đi quan tâm chi chỉ cần ngày hôm nay 2 ta thích nhau thật...  Em mượn rượu tỏ tình đấy thì sao nào Em yêu anh yêu anh đấy thì sao nào Hu hú hu hú hu...Hu hú hu hu hu Em tỏ ra hồn nhiên đấy thì sao nào.. Em yêu anh yêu anh đấy thì sao nào Hu hú hu hú hu...Hu hú hu hu hu ",53548595-f72d-4738-b0e1-8d6436f72136,Mượn Rượu Tỏ Tình
