singers,title
"Dương Trần Nghĩa,Yanbi,Tùng Acoustic",She Wants Love
"Trang,Khoa Vũ",Giữ Cho Em Một Thế Giới
black.,Quay Đi
Yul Lee,Chờ
Thái Đinh,Sao Ta Gặp Nhau (YMEETME)
Shin Hyun Woo,Vai Phản Diện
"LSD,Sia,Diplo",No New Friends
"Jeremy Zucker,Bea Miller",Comethru
MayBayDay Band,Chuyện Nắng
"LK,Slime7",Don't Let Me Go (Viet Spiritz)
Mei,Chỉ Cần Anh Nói
Đặng Trí,Em Ơi Sau Này
"Sam Smith,Normani",Dancing With A Stranger
Noo Phước Thịnh,Thương Em Là Điều Anh Không Thể Ngờ
"FYKE,Amber f(x)",Get Myself
Greyson Chance,Shut Up
"Dagny,Steve Aoki",Hit Your Heart
Gin Tuấn Kiệt,Em Tên Là Gì
Jak Nguyễn,Sau Cơn Mưa Chẳng Thấy Cầu Vồng
"Hoàng Hải Dương,Dess,Trung Ngon",Buồn Làm Gì Em Ei
Chi Pu,Mời Anh Vào Team Em
Yong Anhh,Em Là Mây
T.R.I,Mình Quay Lại Đi
"Masew,APJ",Xa
Jeremy Zucker,Comethru
"Alan Walker,K-391,Emelie Hollow",Lily
Babylon,Shadow
"James Bay,Julia Michaels",Peer Pressure
E.viewz,On Me
"Zedd,Katy Perry",365
Văn Mai Hương,Cầu Hôn
BTS (Bangtan Boys),Don't Leave Me
BTS (Bangtan Boys),Fake Love
"Jonas Blue,Liam Payne,Lennon Stella",Polaroid
"Alan Walker,Sorana",Lost Control
Hà Nhi,Dĩ Vãng Nhạt Nhòa
Halsey,Without Me
TXT (Tomorrow x Together),Crown
"Zico (Block B),IU",SoulMate
"Tiên Tiên,Touliver",Em Không Thể
Billie Eilish,Wish You Were Gay
"Rita Ora,6LACK",Only Want You
Khalid,My Bad
Oh!GG (SNSD),Lil' Touch
BlackPink,DDu-Du DDu-Du
"DJ Snake,Selena Gomez,Ozuna",Taki Taki
"Calvin Harris,Dua Lipa",One Kiss
Jennie (BlackPink),Solo
"Silk City,Dua Lipa,Diplo",Electricity
"Mark Ronson,Miley Cyrus",Nothing Breaks Like a Heart
Đan,Image Of You
Hồ Ngọc Hà,Hạnh Phúc Là Đây (Live Beyond)
"Martin Garrix,Julian Jordan",Glitch
"Jay Phan,Grace (Thiên Cúc)",Tự Tình
Yang Da Il,I'm Here (Memories Of The Alhambra OST)
EXO,Universe
Westlife,Hello My Love
"LK,Slime7",Black Rose
Phùng Khánh Linh,Thành Phố Xa Lạ
Backstreet Boys,Chances
"Benny Blanco,Tainy,Selena Gomez",I Can't Get Enough
John Legend,Preach
TXT (Tomorrow x Together),Blue Orangeade
IZ*ONE,Sukito Iwasetai
Carly Rae Jepsen,No Drug Like Me
"Dean,Sulli Choi,Rad Museum",Dayfly
Jennifer Lopez,Limitless
Kim Chung Ha,Gotta Go
"T.R.I,Rickie T",Nhớ Đến Em
"Kay Trần,Tronie Ngô",Far Away
Phạm Anh Duy,Bụi Phấn
"Kygo,Valerie Broussard",Think About You
Hồ Ngọc Hà,Em Muốn Anh Đưa Em Về (Electronic Pop Dance Version)
BTS (Bangtan Boys),Airplane Pt.2 (Japanese Version)
Đan Trường,Bức Tranh Tình Nhân
"Juun Đăng Dũng,RTee",Đêm Màu Xanh
Red Velvet,RBB (Really Bad Boy)
ATEEZ,Pirate King
"prettyXIX,Kim Chi Sun,Sol7",Up In The Hills
"Henry,Thanh Sơn BTS",Đã Quên Nhau Rồi Remix
Vicky Nhung,Mơ Về Em
"Fedez,Zara Larsson",Holding out for You
J_ust,I Want to Be A Pillow
Charles Huỳnh,Lonely
Post Malone,Wow.
Rozes,Halfway There
Kim Thành,Cho Em Thêm Một Lần
Tiffany Young,Peppermint
"Martin Jensen,James Arthur",Nobody
Zayn,There You Are
"Loco,Yu Seong Eun",Star (Little Prince) (Memories Of The Alhambra OST)
EXO,Love Shot
Phương Trinh Jolie,Nobody Like You
EXID,I Love You
Quang Anh Rhyder,Anh Quen Với Cô Đơn (Feliks Alvin)
Linh Cáo,Giá Trị Của Em Nằm Đâu
"So Hi,EmD",Missing You
Ưng Hoàng Phúc,Ta Vẫn Còn Yêu
"LSD,Sia,Diplo",Thunderclouds
Hari Won,Là Cả Bầu Trời
Phan Mạnh Quỳnh,Huyền Thoại
"Lauv,Troye Sivan",I'm So Tired...
"Seeb,Bastille",Grip
P!nk,Walk Me Home
"Julia Michaels,Selena Gomez",Anxiety
"Little Mix,Ty Dolla $ign",Think About Us
"MØ,Foster the People",Blur
"Lee Sora,Suga (BTS)",Song Request
Travis Scott,SICKO MODE
"Alan Walker,K-391,Sofia Carson",Different World
Mino (WINNER),Fiance
"Steve Aoki,Alan Walker,ISAK",Are You Lonely
"Martin Garrix,Bonn,Frank van Essen",No Sleep
"Illenium,Call Me Karizma",God Damnit
